Police District,Year Month의 연도,Victimisations
Southern,2020,3964
Canterbury,2020,13028
Tasman,2020,3246
Wellington,2020,10558
Central,2020,9215
Eastern,2020,7401
Bay Of Plenty,2020,11001
Waikato,2020,10469
Counties/Manukau,2020,14325
Auckland City,2020,10622
Waitemata,2020,9540
Northland,2020,4991
Not Specified,2019,3
Southern,2019,11420
Canterbury,2019,35217
Tasman,2019,7615
Wellington,2019,28703
Central,2019,24116
Eastern,2019,17616
Bay Of Plenty,2019,27286
Waikato,2019,26377
Counties/Manukau,2019,36172
Auckland City,2019,31826
Waitemata,2019,24910
Northland,2019,10864
Not Specified,2018,3
Southern,2018,10439
Canterbury,2018,32882
Tasman,2018,6875
Wellington,2018,24873
Central,2018,20806
Eastern,2018,16936
Bay Of Plenty,2018,23639
Waikato,2018,22925
Counties/Manukau,2018,35503
Auckland City,2018,28891
Waitemata,2018,23608
Northland,2018,11264
Southern,2017,10826
Canterbury,2017,29370
Tasman,2017,7717
Wellington,2017,26098
Central,2017,22047
Eastern,2017,18385
Bay Of Plenty,2017,23640
Waikato,2017,23793
Counties/Manukau,2017,38350
Auckland City,2017,30941
Waitemata,2017,22965
Northland,2017,11480
Southern,2016,11056
Canterbury,2016,30113
Tasman,2016,8347
Wellington,2016,25342
Central,2016,20613
Eastern,2016,17714
Bay Of Plenty,2016,24173
Waikato,2016,22547
Counties/Manukau,2016,38339
Auckland City,2016,33762
Waitemata,2016,25143
Northland,2016,11178
Southern,2015,10923
Canterbury,2015,30126
Tasman,2015,7529
Wellington,2015,26458
Central,2015,18319
Eastern,2015,14867
Bay Of Plenty,2015,22513
Waikato,2015,20459
Counties/Manukau,2015,35492
Auckland City,2015,35514
Waitemata,2015,23583
Northland,2015,10976
Southern,2014,5666
Canterbury,2014,13445
Tasman,2014,3745
Wellington,2014,13014
Central,2014,9406
Eastern,2014,7176
Bay Of Plenty,2014,10392
Waikato,2014,10436
Counties/Manukau,2014,16135
Auckland City,2014,17114
Waitemata,2014,11435
Northland,2014,4845
